Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Date de création;Date dernière MAJ;geo_shape;geo_point_2d
CP000939;;75019;10;2;RATP L11;TRAVAUX_OUVRAGE;Adaptation de la station Télégraphe dans le cadre du prolongement de la L11.;Rue de Belleville;entre rue Compans et rue du Docteur Potain.;2018-10-25;2021-12-15;RESTREINTE;Maintien d'une file par sens;2;2;;2018-10-30;2018-10-30;"{""type"": ""Polygon"", ""coordinates"": [[[2.397899421917581, 48.875654087871794], [2.397897484840709, 48.875483516287204], [2.396096717544042, 48.87534934641613], [2.396079112539204, 48.875445345821426], [2.3969083061660212, 48.875518869184546], [2.396901899936585, 48.87559724604566], [2.397899421917581, 48.875654087871794]]]}";48.8755021833,2.39710765749
CP002160;;75008;9;2;CPCU;TRAVAUX_URGENCE;Fuite sur  le réseau.;4 avenue Delcassé;à l'angle de la rue de Penthièvre;2021-10-11;2021-11-19;RESTREINTE;Neutralisation du couloir bus.;2;2;;2021-10-11;2021-10-11;"{""type"": ""Polygon"", ""coordinates"": [[[2.314765555092924, 48.87297759321451], [2.314866521383324, 48.87272586718101], [2.314777223218581, 48.87270925061739], [2.314692566446511, 48.87295838722187], [2.314765555092924, 48.87297759321451]]]}";48.8728391594,2.31477697348
CP002195;503256;75008;9;2;Climespace;ENTRETIEN_RESEAU;Remplacement de canalisation.;2 av Montaigne / Place de la Reine Astrid / 46 rue Jean Goujon;;2022-01-03;2022-02-11;RESTREINTE;Maintien de 4m de circulation.;2;1;;2021-11-09;2021-11-09;"{""type"": ""Polygon"", ""coordinates"": [[[2.303801157003197, 48.86521175576513], [2.3038270208734692, 48.86516550520759], [2.30325025795616, 48.86500747882437], [2.303067422353867, 48.8651943980063], [2.303250157184718, 48.86528469446727], [2.303288597128055, 48.86524208675492], [2.303155954856163, 48.86518182618994], [2.303260266384795, 48.865068215272274], [2.303511841415848, 48.86513511710973], [2.303801157003197, 48.86521175576513]]]}";48.8651328221,2.30339532864
CP001826;;75001;11;2;Eau de Paris;INSPECTION_ENTRETIEN_RESEAU;Renouvellement de conduites de distribution d'eau potable et de défense incendie.;Rue Edouard Colonne / quai Mégisserie;;2021-02-01;2021-11-15;RESTREINTE;Maintien de 2 voies réduites + voie bus sur le quai, de 3m sur E. Colonne pour la circulation avec double-sens vélo. Du 15 au 19/02 fermeture de E. Colonne entre quai et St Germain l'Auxerrois avec inversion de la rue entre Victoria et St Germain;2;2;;2021-01-08;2021-01-08;"{""type"": ""Polygon"", ""coordinates"": [[[2.345647665599179, 48.85772762010762], [2.345615913894454, 48.85767152753736], [2.345442157276132, 48.85772411648287], [2.345618972334892, 48.858002299399395], [2.34568770954603, 48.85798482855031], [2.345555295836616, 48.85776042872808], [2.345647665599179, 48.85772762010762]]]}";48.8578209669,2.34556915331
CP001828;;75009;11;3;Pathé;REHABILITATION_IMMEUBLE;;bd des Capucines /rue de la Chaussée d'Antin;n°2/4,n°1 au n°3bis;2021-01-29;2023-12-29;RESTREINTE;mise à sens unique de la rue de la Chaussée d'Antin depuis le bd des Capucines vers et jusqu'à la rue Meyerbeer. Mise à sens unique de la rue Meyerbeer depuis la place Jacques Rouché vers et jusqu'à la rue de la Chaussée d'Antin.;1;2;;2021-01-08;2021-01-08;"{""type"": ""Polygon"", ""coordinates"": [[[2.334146329823834, 48.87099769394828], [2.333534288323672, 48.87086990608287], [2.33348365788784, 48.87100925859056], [2.333673178805307, 48.87104621996545], [2.333864006335342, 48.8710734574379], [2.33394076317491, 48.871135751156146], [2.333747910819046, 48.87154871284911], [2.3337687912347, 48.8716083168636], [2.333757484336692, 48.871646326619214], [2.333751571518258, 48.87168555532487], [2.333820087315403, 48.871687126497385], [2.334146329823834, 48.87099769394828]]]}";48.871172727,2.33385112265
CP001965;;75010;11;2;EAU DE PARIS;ENTRETIEN_RESEAU;Remplacement de conduite EP;rue Saint Vincent de Paul;du n°12 au n°10;2021-05-17;2021-10-29;RESTREINTE;Maintien d'une file de circulation .;2;2;;2021-04-20;2021-06-28;"{""type"": ""Polygon"", ""coordinates"": [[[2.3522717488988762, 48.88014923062031], [2.352292281283907, 48.88012269180187], [2.352221760766906, 48.87987531946763], [2.352179850063431, 48.87988032680034], [2.35222452626896, 48.88005903022007], [2.352250417186154, 48.88006583346006], [2.3522717488988762, 48.88014923062031]]]}";48.8799959852,2.35223466984
CP002192;;75008;9;2;Climespace;RACCORDEMENT_RESEAU;"Raccordement du 37 rue La Boétie
Phases 2 et 3";Rue La Boétie;du 29 au 37;2022-01-27;2022-03-11;RESTREINTE;Maintien de la voie Bus + 1 voie de circulation;1;1;;2021-11-04;2021-11-04;"{""type"": ""Polygon"", ""coordinates"": [[[2.3158457277143842, 48.87382569173253], [2.315845758969466, 48.873823312255745], [2.315782370473786, 48.87384317611775], [2.314659370839278, 48.87365471894407], [2.314653318171541, 48.873703464540746], [2.315879151457088, 48.87389012895608], [2.31592114779603, 48.87385110734978], [2.3158457277143842, 48.87382569173253]]]}";48.8737736948,2.31525566331
CP002125;458573;75010;11;2;Eau de Paris;ENTRETIEN_RESEAU;Création d'un puit de service pour les travaux de renouvellement de conduite d'Eau potable en égout;rue du Faubourg du Temple;du 57 au 65 ( accès PPC du 59 maintenu);2021-08-30;2022-01-14;RESTREINTE;Maintien de 3.00m de circulation;2;2;;2021-08-06;2021-08-06;"{""type"": ""Polygon"", ""coordinates"": [[[2.3701493540539342, 48.869769154247535], [2.37060563227748, 48.86991908372247], [2.370608097023616, 48.869864367427546], [2.3701731433663182, 48.869740725421124], [2.370147537535202, 48.86977033451393], [2.3701493540539342, 48.869769154247535]]]}";48.8698284377,2.37039992543
CP002167;;75005;12;1;SAP;TRAVAUX_OUVRAGE;Travaux préparatoires à la mise en place du puits.;Place Valhubert / quai St Bernard;;2021-11-02;2022-01-28;RESTREINTE;Neutralisation d'une file de circulation.;2;2;;2021-10-11;2021-10-11;"{""type"": ""Polygon"", ""coordinates"": [[[2.364543188116128, 48.84450771269467], [2.364425748927848, 48.844529694240975], [2.364247433950507, 48.84466557176876], [2.36432263226447, 48.84470761351416], [2.364543188116128, 48.84450771269467]]]}";48.8446073219,2.36438246988
CP001848;;75012;15;1;SAP;TRAVAUX_OUVRAGE;Travaux pour le bassin d'Austerlitz;Voie Mazas;;2021-02-23;2023-06-30;RESTREINTE;Neutralisation de plusieurs files de circulation, selon le phasage.;1;2;;2021-02-01;2021-05-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.366500585283584, 48.845539520359495], [2.366674501179357, 48.845618281559865], [2.367273757540404, 48.84516514830218], [2.367888846181722, 48.844746988911076], [2.367764022031064, 48.84464433206504], [2.367120239267621, 48.84508112757091], [2.366500585283584, 48.845539520359495]]]}";48.8451364458,2.36719257268
